pipelinePath,plan,family,engine,contract_primary,skipWebSearch,priority_short_circuit,forbidden_under_SOCIAL,source_file
just_intent_detection,A,analysis,LLM_guided,,,0,false,justIntentDetectionPolicy.js
clarification_gate,A+B,governance,SIL,,,0,false,clarificationDecisionPolicy.js
social_deterministic,B,social,SIL,SOCIAL,true,2,true,socialPatternPolicy.js
guided_creation_scoping,B,creation,SIMPLE_FAST,GUIDED_CREATION_SCOPING,true,5,false,guidedCreationScopingPolicy.js
architecture_design_deterministic,B,architecture,SIL,ARCHITECTURE_OPTIONS,true,18,false,architectureDesignIntentGuards.js
compare_choose,B+C,product,full_pipeline,GUIDED_PRODUCT_RECOMMENDATION,bounded,21,false,compareChooseCompositePolicy.js
document_synthesis_llm,B+C,document,LLM,GUIDED_DOCUMENT_SYNTHESIS,true,35,false,guidedDocumentSynthesisPolicy.js
simple_factual_lookup,B,factual,SIMPLE_FAST,DIRECT_EXPLANATION,false,37,true,justIntentDetectionPolicy.js
information_seeking_full_pipeline,B+C,research,orchestrator,FACTUAL_RESEARCH,false,46,true,informationSeekingIntentGuards.js
information_seeking_escalation,C,factual_escalation,orchestrator,FACTUAL_RESEARCH,false,,true,agentPipeline.js
semantic_intent_resolver,B,fallback,LLM_light,SOCIAL,true,,partial,semanticIntentResolver.js
simple_fast,B,fallback,LLM_local,inherited,false,,false,simpleFastPath.js
intent_stage_deterministic,B,fallback,SIL,SOCIAL,true,,false,IntentStage.js
COMPOSER,C,orchestrator,LLM_agents,resolveIntentContract(),variable,,partial,SovereignOrchestrator.js
DOCUMENT,C,document,LLM_doc,DOCUMENT_ATTACHED,false,,false,document-analysis.js
CRITICAL,C,consensus,multi_agent,DIAGNOSTIC,variable,,false,sequential-consensus.js
datetime_deterministic,B,datetime,SIL,SOCIAL,true,38,true,conversationIntentFrame.js
math_composite_deterministic,B,math,SIL,,true,27,false,mathCompositeQueryPolicy.js
exploratory_conversation_light,B,exploration,SIMPLE_FAST,CONVERSATION_STANDARD,true,36,false,exploratoryConversationPolicy.js
code_create_text_fallback,B,creation_fallback,SIL,GUIDED_CREATION_SCOPING,true,,false,codeCreateFallbackPolicy.js
conversation_recall,B,memory,LLM,,false,,false,conversationRecall.js
instant,B,command,SIL,INSTANT,true,,false,agentPipeline.js
hook_blocked,B,security,refusal,,true,,false,agentPipeline.js
